model,arrhythmia,breastw,cardio,campaign,cardiotocography,glass,ionosphere,mammography,optdigits,pima,pendigits,satellite,thyroid,wbc,wine,AVG_AUC
MemAE-d128-lr0.05-t0.1,0.6224,0.9773,0.7116,0.4925,0.6109,0.3385,0.9762,0.5164,0.4748,0.6836,0.7333,0.8575,0.7252,0.74,0.748,0.6806
MemAE-d256-lr0.001,0.6147,0.9794,0.79,0.4067,0.6604,0.2386,0.9761,0.4378,0.2678,0.6885,0.6016,0.8438,0.7198,0.779,0.7825,0.6525
MemAE-d256-lr0.001-t0.1,0.615,0.9783,0.7167,0.4557,0.6159,0.316,0.9764,0.5171,0.3259,0.6887,0.6275,0.8474,0.7054,0.778,0.7936,0.6638
MemAE-d256-lr0.005,0.6179,0.9823,0.7022,0.3871,0.6009,0.3486,0.979,0.4898,0.4264,0.6931,0.7771,0.8509,0.74,0.7856,0.8504,0.6821
MemAE-d256-lr0.005-t0.1,0.6121,0.9809,0.7206,0.4802,0.6262,0.3251,0.9756,0.4992,0.4967,0.6825,0.7664,0.8622,0.6883,0.7783,0.8254,0.688
MemAE-d256-lr0.01,0.6122,0.9823,0.7149,0.4498,0.6181,0.339,0.978,0.4946,0.4714,0.6833,0.7061,0.8601,0.7195,0.7854,0.847,0.6841
MemAE-d256-lr0.01-t0.1,0.6105,0.977,0.7155,0.4958,0.617,0.3117,0.979,0.4928,0.554,0.685,0.8365,0.8641,0.6888,0.7579,0.7539,0.6893
MemAE-d256-lr0.05,0.6159,0.9877,0.8502,0.4053,0.7103,0.1795,0.9588,0.4196,0.0858,0.6847,0.2921,0.8364,0.8081,0.7599,0.7474,0.6228
MemAE-d256-lr0.05-t0.1,0.5956,0.9828,0.7983,0.4696,0.6854,0.2432,0.9371,0.4704,0.1989,0.6851,0.4444,0.8573,0.7424,0.7544,0.6542,0.6346
MemAE-d64-lr0.001,0.6139,0.9878,0.831,0.4171,0.6862,0.1818,0.9536,0.3847,0.1648,0.6906,0.4511,0.8485,0.7926,0.7722,0.7401,0.6344
MemAE-d64-lr0.001-t0.1,0.6148,0.9849,0.8127,0.406,0.6685,0.268,0.9669,0.5129,0.1669,0.6943,0.4237,0.8462,0.7208,0.7809,0.7373,0.6403
