,reg,reg_abs,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_313,0.0088,0.0003,0.0031,0.0031,0.0012,0.0012
feature_314,-0.0109,0.0004,0.0045,0.0045,0.0017,0.0017
feature_315,0.1055,0.0037,0.0035,0.0035,0.0012,0.0012
feature_316,-0.0757,0.0026,0.0039,0.0039,0.0014,0.0014
feature_317,-0.0086,0.0003,0.0046,0.0046,0.0017,0.0017
feature_318,-0.0087,0.0003,0.0048,0.0048,0.0018,0.0018
feature_319,0.0361,0.0012,0.0036,0.0036,0.0015,0.0015
feature_320,0.0676,0.0023,0.0038,0.0038,0.0014,0.0014
feature_321,-0.1549,0.0054,0.0034,0.0034,0.0013,0.0013
feature_322,0.0598,0.0021,0.0042,0.0042,0.0015,0.0015
feature_323,0.1357,0.0047,0.004,0.004,0.0015,0.0015
feature_324,-0.0197,0.0007,0.0041,0.0041,0.0017,0.0017
feature_325,0.0334,0.0012,0.0045,0.0045,0.0017,0.0017
feature_326,0.0339,0.0012,0.005,0.005,0.0018,0.0018
feature_327,0.0071,0.0002,0.0044,0.0044,0.0017,0.0017
feature_328,0.0409,0.0014,0.0045,0.0045,0.0015,0.0015
feature_329,0.0343,0.0012,0.0039,0.0039,0.0014,0.0014
feature_330,-0.0558,0.0019,0.0045,0.0045,0.0017,0.0017
feature_331,0.0207,0.0007,0.0037,0.0037,0.0013,0.0013
feature_332,0.0169,0.0006,0.0046,0.0046,0.0017,0.0017
feature_333,-0.0792,0.0027,0.0041,0.0041,0.0014,0.0014
feature_334,0.0456,0.0016,0.0031,0.0031,0.0012,0.0012
feature_335,-0.052,0.0018,0.0038,0.0038,0.0015,0.0015
feature_336,0.0112,0.0004,0.0037,0.0037,0.0013,0.0013
feature_337,0.0034,1e-04,0.0033,0.0033,0.0012,0.0012
feature_338,-0.0862,0.003,0.0049,0.0049,0.0018,0.0018
feature_339,0.0554,0.0019,0.0042,0.0042,0.0016,0.0016
feature_340,-0.0694,0.0024,0.0045,0.0045,0.0016,0.0016
feature_341,-0.0439,0.0015,0.0038,0.0038,0.0015,0.0015
feature_342,0.0505,0.0017,0.0041,0.0041,0.0015,0.0015
feature_343,-0.0145,0.0005,0.0048,0.0048,0.0018,0.0018
feature_344,-0.0422,0.0015,0.006,0.006,0.0026,0.0026
feature_345,0.0537,0.0019,0.0043,0.0043,0.0014,0.0014
feature_346,-0.065,0.0022,0.0042,0.0042,0.0017,0.0017
feature_347,0.0526,0.0018,0.0037,0.0037,0.0014,0.0014
feature_348,-0.0763,0.0026,0.005,0.005,0.0019,0.0019
feature_349,0.1069,0.0037,0.0041,0.0041,0.0016,0.0016
feature_350,-0.0459,0.0016,0.0037,0.0037,0.0016,0.0016
feature_351,0.0281,0.001,0.004,0.004,0.0016,0.0016
feature_352,-0.0288,0.001,0.0034,0.0034,0.0013,0.0013
feature_353,-0.0513,0.0018,0.0042,0.0042,0.0017,0.0017
feature_354,0.1065,0.0037,0.0045,0.0045,0.0016,0.0016
feature_355,-0.1159,0.004,0.006,0.006,0.0023,0.0023
feature_356,0.0147,0.0005,0.0041,0.0041,0.0015,0.0015
feature_357,-0.0513,0.0018,0.0053,0.0053,0.002,0.002
feature_358,0.0249,0.0009,0.0048,0.0048,0.0017,0.0017
feature_359,-0.0396,0.0014,0.0044,0.0044,0.0017,0.0017
feature_360,0.1665,0.0058,0.0049,0.0049,0.0019,0.0019
feature_361,-0.0153,0.0005,0.0044,0.0044,0.0016,0.0016
feature_362,-0.1585,0.0055,0.0051,0.0051,0.0022,0.0022
feature_363,-0.0815,0.0028,0.0041,0.0041,0.0014,0.0014
feature_364,-0.0539,0.0019,0.0052,0.0052,0.0019,0.0019
feature_365,0.059,0.002,0.005,0.005,0.002,0.002
feature_366,-0.0152,0.0005,0.0045,0.0045,0.0017,0.0017
feature_367,-0.0221,0.0008,0.0049,0.0049,0.0019,0.0019
feature_368,0.0424,0.0015,0.0049,0.0049,0.0019,0.0019
feature_369,-0.0916,0.0032,0.0037,0.0037,0.0013,0.0013
feature_370,0.0784,0.0027,0.0036,0.0036,0.0013,0.0013
feature_371,0.0615,0.0021,0.0047,0.0047,0.0017,0.0017
feature_372,-0.0134,0.0005,0.0042,0.0042,0.0015,0.0015
feature_373,0.0449,0.0016,0.0039,0.0039,0.0014,0.0014
feature_374,-0.021,0.0007,0.0054,0.0054,0.0021,0.0021
feature_375,-0.0838,0.0029,0.0059,0.0059,0.0023,0.0023
feature_376,0.0279,0.001,0.0041,0.0041,0.0015,0.0015
feature_377,-0.0011,0.0,0.0045,0.0045,0.0016,0.0016
feature_378,0.0526,0.0018,0.0047,0.0047,0.0017,0.0017
feature_379,0.078,0.0027,0.0036,0.0036,0.0014,0.0014
feature_380,-0.009,0.0003,0.0045,0.0045,0.0017,0.0017
feature_381,0.0429,0.0015,0.0032,0.0032,0.0012,0.0012
feature_382,0.0322,0.0011,0.0041,0.0041,0.0015,0.0015
feature_383,-0.0403,0.0014,0.0043,0.0043,0.0017,0.0017
feature_384,-0.0627,0.0022,0.0061,0.0061,0.0025,0.0025
feature_385,-0.013,0.0005,0.004,0.004,0.0016,0.0016
feature_386,-0.0293,0.001,0.0046,0.0046,0.0019,0.0019
feature_387,-0.1751,0.0061,0.005,0.005,0.0016,0.0016
feature_388,-0.1798,0.0062,0.005,0.005,0.0018,0.0018
feature_389,0.0194,0.0007,0.0044,0.0044,0.0017,0.0017
feature_390,0.1138,0.0039,0.005,0.005,0.0021,0.0021
feature_391,-0.0859,0.003,0.0041,0.0041,0.0017,0.0017
feature_392,0.0316,0.0011,0.0044,0.0044,0.0016,0.0016
feature_393,-0.0053,0.0002,0.0035,0.0035,0.0013,0.0013
feature_394,0.2268,0.0078,0.0039,0.0039,0.0015,0.0015
feature_395,0.1537,0.0053,0.0035,0.0035,0.0013,0.0013
feature_396,0.0313,0.0011,0.0045,0.0045,0.0016,0.0016
feature_397,-0.0168,0.0006,0.005,0.005,0.002,0.002
feature_398,0.0027,1e-04,0.0049,0.0049,0.0018,0.0018
feature_399,-0.0244,0.0008,0.0055,0.0055,0.002,0.002
feature_400,-0.0063,0.0002,0.0037,0.0037,0.0014,0.0014
feature_401,-0.0063,0.0002,0.0056,0.0056,0.0023,0.0023
feature_402,0.055,0.0019,0.005,0.005,0.002,0.002
feature_403,-0.065,0.0022,0.0043,0.0043,0.0016,0.0016
feature_404,0.0082,0.0003,0.0051,0.0051,0.0018,0.0018
feature_405,-0.0116,0.0004,0.0045,0.0045,0.0017,0.0017
feature_406,0.0116,0.0004,0.0048,0.0048,0.0019,0.0019
feature_407,0.0184,0.0006,0.0035,0.0035,0.0013,0.0013
feature_408,0.0082,0.0003,0.0044,0.0044,0.0018,0.0018
feature_409,0.0635,0.0022,0.0044,0.0044,0.0017,0.0017
feature_410,-0.0235,0.0008,0.0044,0.0044,0.0016,0.0016
feature_411,-0.0356,0.0012,0.0035,0.0035,0.0014,0.0014
feature_412,-0.0124,0.0004,0.0039,0.0039,0.0014,0.0014
feature_413,-0.1211,0.0042,0.0043,0.0043,0.0015,0.0015
feature_414,-0.0771,0.0027,0.0054,0.0054,0.0021,0.0021
feature_415,0.0238,0.0008,0.0042,0.0042,0.0016,0.0016
feature_416,-0.079,0.0027,0.0043,0.0043,0.0016,0.0016
feature_417,-0.2723,0.0094,0.005,0.005,0.002,0.002
feature_418,0.6405,0.0222,0.0049,0.0049,0.0019,0.0019
feature_419,-0.0172,0.0006,0.0044,0.0044,0.0017,0.0017
feature_420,0.0668,0.0023,0.0043,0.0043,0.0016,0.0016
feature_421,-0.0234,0.0008,0.0037,0.0037,0.0014,0.0014
feature_422,-0.0906,0.0031,0.004,0.004,0.0015,0.0015
feature_423,0.0041,1e-04,0.0046,0.0046,0.0018,0.0018
feature_424,0.0171,0.0006,0.0046,0.0046,0.0018,0.0018
feature_425,0.0244,0.0008,0.0046,0.0046,0.0018,0.0018
feature_426,-0.0441,0.0015,0.0045,0.0045,0.0018,0.0018
feature_427,0.0094,0.0003,0.0037,0.0037,0.0013,0.0013
feature_428,0.0502,0.0017,0.0037,0.0037,0.0013,0.0013
feature_429,-0.0348,0.0012,0.0043,0.0043,0.0016,0.0016
feature_430,-0.0065,0.0002,0.0044,0.0044,0.0015,0.0015
feature_431,0.0231,0.0008,0.0042,0.0042,0.0016,0.0016
feature_432,0.0747,0.0026,0.0042,0.0042,0.0015,0.0015
feature_433,0.0357,0.0012,0.004,0.004,0.0016,0.0016
feature_434,0.0284,0.001,0.0049,0.0049,0.0019,0.0019
feature_435,0.0399,0.0014,0.0049,0.0049,0.0021,0.0021
