,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head5_self,head6_self,head7_self,head8_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head5_no_self,head6_no_self,head7_no_self,head8_no_self,head_sum_no_self
feature_485,-0.0488,0.0017,0.0298,0.0348,0.0257,0.0429,0.0364,0.0321,0.0327,0.0253,0.2597,0.0007,0.0014,0.0009,0.0012,0.0017,0.0022,0.0011,0.0022,0.0114
feature_486,0.051,0.0018,0.0281,0.0331,0.026,0.0347,0.0319,0.0288,0.0274,0.0243,0.2343,0.0009,0.0013,0.0009,0.0019,0.0013,0.002,0.0011,0.0012,0.0107
feature_487,0.0075,0.0003,0.0252,0.0277,0.0239,0.0277,0.0266,0.0245,0.0234,0.0219,0.2009,0.0009,0.002,0.0017,0.0036,0.0013,0.0011,0.0009,0.0015,0.013
feature_488,0.0624,0.0022,0.0233,0.0458,0.0209,0.0313,0.0225,0.0244,0.0247,0.0197,0.2127,0.0024,0.0036,0.0009,0.002,0.0012,0.0013,0.0007,0.0007,0.0129
feature_489,-0.0476,0.0016,0.0258,0.0635,0.0256,0.0317,0.02,0.0259,0.0279,0.023,0.2434,0.0008,0.0017,0.0009,0.0024,0.0018,0.0014,0.0009,0.0009,0.0107
feature_490,0.0342,0.0012,0.0218,0.0522,0.0206,0.0255,0.0173,0.022,0.0238,0.0196,0.2028,0.0025,0.0007,0.0013,0.0022,0.0014,0.0012,0.0011,0.0009,0.0111
feature_491,-0.0783,0.0027,0.0222,0.0416,0.0242,0.032,0.0244,0.0246,0.0249,0.0239,0.2179,0.0008,0.0009,0.0014,0.0051,0.0025,0.0013,0.0007,0.0009,0.0137
feature_492,-0.0843,0.0029,0.0209,0.0344,0.0248,0.026,0.0185,0.0221,0.0232,0.0234,0.1932,0.0009,0.0017,0.0008,0.0016,0.0006,0.0057,0.002,0.0009,0.0141
feature_493,0.0286,0.001,0.0209,0.0323,0.0241,0.0252,0.0193,0.0221,0.0229,0.0231,0.1899,0.0014,0.0011,0.0022,0.0017,0.0014,0.0024,0.0007,0.0006,0.0114
feature_494,-0.0105,0.0004,0.0236,0.0485,0.0241,0.0317,0.0208,0.0253,0.0266,0.0222,0.2229,0.0011,0.0022,0.0013,0.0021,0.0007,0.0044,0.0013,0.0006,0.0137
feature_495,-0.0107,0.0004,0.0209,0.0432,0.0217,0.027,0.0199,0.0223,0.0237,0.0212,0.1999,0.001,0.0023,0.0012,0.0015,0.001,0.0007,0.0007,0.0005,0.0088
feature_496,0.0271,0.0009,0.0264,0.0537,0.0253,0.0404,0.0305,0.0302,0.0293,0.0249,0.2607,0.0009,0.0029,0.0023,0.0016,0.0009,0.0011,0.0012,0.0019,0.0127
feature_497,-0.0514,0.0018,0.024,0.056,0.0219,0.0296,0.0204,0.024,0.0258,0.0209,0.2226,0.0011,0.0054,0.0007,0.001,0.0009,0.0018,0.001,0.0016,0.0134
feature_498,0.0007,0.0,0.0296,0.0493,0.0266,0.0301,0.0213,0.0236,0.026,0.0237,0.2301,0.0013,0.0008,0.001,0.0015,0.0011,0.0039,0.0006,0.0016,0.0119
feature_499,-0.0026,1e-04,0.0235,0.0355,0.0209,0.0254,0.0184,0.0205,0.0213,0.019,0.1844,0.0013,0.0013,0.0007,0.0013,0.0008,0.002,0.0012,0.0024,0.011
feature_500,0.0272,0.0009,0.025,0.038,0.0226,0.0267,0.0209,0.0222,0.0228,0.0209,0.1991,0.0012,0.0019,0.001,0.0012,0.0011,0.0011,0.0009,0.0013,0.0097
